Date,Price,Open,High,Low,Vol.,Change %
01/27/2025,1.04307,1.04929,1.0494,1.04138,,
01/28/2025,1.042,1.04288,1.04438,1.03824,,
01/29/2025,1.03923,1.04197,1.04678,1.03862,,
01/30/2025,1.03606,1.03954,1.0434,1.035,,
02/02/2025,1.03428,1.02454,1.03502,1.02105,,
02/03/2025,1.03788,1.0338,1.03877,1.02719,,
02/04/2025,1.04028,1.03758,1.04432,1.03696,,
02/05/2025,1.0383,1.04049,1.0406,1.03526,,
02/06/2025,1.0327,1.03858,1.04134,1.03052,,
02/09/2025,1.0307,1.02925,1.03366,1.02838,,
02/10/2025,1.03612,1.03092,1.03816,1.02922,,
02/11/2025,1.03824,1.03621,1.04299,1.0317,,
02/12/2025,1.04648,1.03848,1.04674,1.03732,,
02/13/2025,1.0492,1.04639,1.05144,1.04471,,
02/16/2025,1.04833,1.04862,1.05065,1.04672,,
02/17/2025,1.0446,1.04798,1.04864,1.04352,,
02/18/2025,1.04225,1.04465,1.04615,1.04009,,
02/19/2025,1.05014,1.04248,1.05036,1.04187,,
02/20/2025,1.04608,1.04976,1.05059,1.04494,,
02/23/2025,1.04682,1.0469,1.05284,1.04528,,
02/24/2025,1.05149,1.0469,1.05194,1.04563,,
02/25/2025,1.0485,1.05157,1.0529,1.0475,,
02/26/2025,1.03989,1.04852,1.04926,1.03968,,
02/27/2025,1.03754,1.03998,1.042,1.036,,
03/02/2025,1.0488,1.04048,1.0504,1.03886,,
03/03/2025,1.06258,1.04884,1.06278,1.0471,,
03/04/2025,1.07896,1.06229,1.07968,1.0602,,
03/05/2025,1.07852,1.07903,1.08536,1.07658,,
03/06/2025,1.08334,1.07877,1.0889,1.07814,,
03/09/2025,1.0836,1.08302,1.08747,1.0805,,
03/10/2025,1.09194,1.08341,1.09472,1.08324,,
03/11/2025,1.08875,1.09202,1.09322,1.08757,,
03/12/2025,1.08524,1.08899,1.08973,1.08226,,
03/13/2025,1.08789,1.08502,1.09127,1.08306,,
03/16/2025,1.09226,1.08812,1.09299,1.08686,,
03/17/2025,1.0944,1.09224,1.09548,1.08926,,
03/18/2025,1.09022,1.09446,1.09462,1.08606,,
03/19/2025,1.08534,1.09032,1.09174,1.08146,,
03/20/2025,1.08155,1.08525,1.08614,1.07969,,
03/23/2025,1.08012,1.08156,1.08583,1.07816,,
03/24/2025,1.07918,1.08013,1.08302,1.0777,,
03/25/2025,1.07528,1.0794,1.08029,1.07439,,
03/26/2025,1.0802,1.07578,1.08212,1.0733,,
03/27/2025,1.08308,1.0799,1.08448,1.07646,,
